,period,date,Time,Line,assayCO2,Species,C02_chamber,CO2_airspace,CO2_media,pH,salinity,initial.temperature,final_temperature,regime,vessel
243,6,03-26-2012 0:00:00,3.5,E,high,Anabaena,1000,630,10,7.08,0.1,25,22,2,flask
244,6,03-26-2012 0:00:00,3.5,F,high,Anabaena,1000,695,36,7.1,0.1,25,22,2,flask
245,6,03-26-2012 0:00:00,3.5,A,ambient,Chlamydomonas,450,325,50,7.06,0.1,25,22,2,flask
246,6,03-26-2012 0:00:00,3.5,B,ambient,Chlamydomonas,450,462,40,7.04,0.1,25,22,2,flask
247,6,03-26-2012 0:00:00,3.5,C,ambient,Chlamydomonas,450,460,17,7.06,0.1,25,22,2,flask
248,6,03-26-2012 0:00:00,3.5,D,high,Chlamydomonas,1000,863,463,6.97,0.1,25,22,2,flask
249,6,03-26-2012 0:00:00,3.5,E,high,Chlamydomonas,1000,884,450,6.93,0.1,25,22,2,flask
250,6,03-26-2012 0:00:00,3.5,F,high,Chlamydomonas,1000,934,420,6.93,0.1,25,22,2,flask
251,6,03-26-2012 0:00:00,3.5,A,ambient,Blank,450,469,257,7.02,0.1,25,22,2,flask
252,6,03-26-2012 0:00:00,3.5,B,ambient,Blank,450,459,205,6.96,0.1,25,22,2,flask
253,6,03-26-2012 0:00:00,3.5,C,ambient,Blank,450,460,197,6.96,0.1,25,22,2,flask
254,6,03-26-2012 0:00:00,3.5,D,high,Blank,1000,977,550,6.92,0.1,25,22,2,flask
255,6,03-26-2012 0:00:00,3.5,E,high,Blank,1000,948,587,6.86,0.1,25,22,2,flask
256,6,03-26-2012 0:00:00,3.5,F,high,Blank,1000,1018,539,6.85,0.1,25,22,2,flask
257,6,03-26-2012 0:00:00,3.5,A,ambient,Anabaena,450,NA,173,NA,0.1,25,22,2,microplate
258,6,03-26-2012 0:00:00,3.5,B,ambient,Anabaena,450,NA,152,NA,0.1,25,22,2,microplate
259,6,03-26-2012 0:00:00,3.5,C,ambient,Anabaena,450,NA,NA,NA,0.1,25,22,2,microplate
260,6,03-26-2012 0:00:00,3.5,D,high,Anabaena,1000,NA,177,NA,0.1,25,22,2,microplate
261,6,03-26-2012 0:00:00,3.5,E,high,Anabaena,1000,NA,259,NA,0.1,25,22,2,microplate
262,6,03-26-2012 0:00:00,3.5,F,high,Anabaena,1000,NA,250,NA,0.1,25,22,2,microplate
263,6,03-26-2012 0:00:00,3.5,A,ambient,Anabaena,450,NA,71,NA,0.1,25,22,2,microplate
264,6,03-26-2012 0:00:00,3.5,B,ambient,Anabaena,450,NA,54,NA,0.1,25,22,2,microplate
265,6,03-26-2012 0:00:00,3.5,C,ambient,Anabaena,450,NA,69,NA,0.1,25,22,2,microplate
266,6,03-26-2012 0:00:00,3.5,D,high,Anabaena,1000,NA,239,NA,0.1,25,22,2,microplate
267,6,03-26-2012 0:00:00,3.5,E,high,Anabaena,1000,NA,190,NA,0.1,25,22,2,microplate
268,6,03-26-2012 0:00:00,3.5,F,high,Anabaena,1000,NA,240,NA,0.1,25,22,2,microplate
